0.0,3456,1920
0.5,46208,64
1.0,55680,37696
1.5,320,64
2.0,38592,54976
2.5,28096,31552
3.0,10496,23360
3.5,56512,9792
4.0,44416,33984
4.5,43584,43584
5.0,55680,0
5.5,37760,13184
6.0,128,0
6.5,46400,19776
7.0,34176,27456
7.5,33920,0
8.0,41152,63552
8.5,10496,54976
9.0,0,32640
9.5,21824,44352
0.0,1728,5248
0.5,0,0
1.0,51840,51904
1.5,0,0
2.0,56192,46912
2.5,19264,24512
3.0,0,34432
3.5,56128,38592
4.0,39808,14272
4.5,60800,63104
5.0,0,56128
5.5,576,0
6.0,46400,58944
6.5,18368,28608
7.0,0,0
7.5,55104,44416
8.0,7936,32704
8.5,0,0
9.0,32448,51136
9.5,21888,29312
